HomeSimulator
Date,P,Pres
2015-01-01 00:00:00,270.488333333,4
2015-01-01 00:10:00,219.945,4
2015-01-01 00:20:00,257.77,4
2015-01-01 00:30:00,220.52,4
2015-01-01 00:40:00,96.2316666667,4
2015-01-01 00:50:00,134.056666667,4
2015-01-01 01:00:00,96.8066666667,4
2015-01-01 01:10:00,96.2316666667,4
2015-01-01 01:20:00,134.056666667,4
2015-01-01 01:30:00,96.8066666667,4
2015-01-01 01:40:00,96.2316666667,4
2015-01-01 01:50:00,84.0566666667,4
2015-01-01 02:00:00,46.8066666667,4
2015-01-01 02:10:00,46.2316666667,4
2015-01-01 02:20:00,84.0566666667,4
2015-01-01 02:30:00,46.8066666667,4
2015-01-01 02:40:00,46.2316666667,4
2015-01-01 02:50:00,84.0566666667,4
2015-01-01 03:00:00,46.8066666667,4
2015-01-01 03:10:00,46.2316666667,4
2015-01-01 03:20:00,84.0566666667,4
2015-01-01 03:30:00,46.8066666667,4
2015-01-01 03:40:00,46.2316666667,4
2015-01-01 03:50:00,84.0566666667,4
2015-01-01 04:00:00,46.8066666667,4
2015-01-01 04:10:00,46.2316666667,4
2015-01-01 04:20:00,84.0566666667,4
2015-01-01 04:30:00,46.8066666667,4
2015-01-01 04:40:00,46.2316666667,4
2015-01-01 04:50:00,84.0566666667,4
2015-01-01 05:00:00,46.8066666667,4
2015-01-01 05:10:00,46.2316666667,4
2015-01-01 05:20:00,84.0566666667,4
2015-01-01 05:30:00,46.8066666667,4
2015-01-01 05:40:00,46.2316666667,4
2015-01-01 05:50:00,84.0566666667,4
2015-01-01 06:00:00,146.806666667,4
2015-01-01 06:10:00,46.2316666667,4
2015-01-01 06:20:00,84.0566666667,3
2015-01-01 06:30:00,46.8066666667,3
2015-01-01 06:40:00,46.2316666667,3
2015-01-01 06:50:00,184.056666667,3
2015-01-01 07:00:00,146.806666667,3
2015-01-01 07:10:00,196.231666667,3
2015-01-01 07:20:00,184.056666667,2
2015-01-01 07:30:00,496.806666667,2
2015-01-01 07:40:00,496.231666667,2
2015-01-01 07:50:00,634.056666667,2
2015-01-01 08:00:00,596.806666667,0
2015-01-01 08:10:00,596.231666667,0
2015-01-01 08:20:00,584.056666667,0
2015-01-01 08:30:00,546.806666667,0
2015-01-01 08:40:00,746.231666667,0
2015-01-01 08:50:00,334.056666667,0
2015-01-01 09:00:00,96.8066666667,0
2015-01-01 09:10:00,46.2316666667,0
2015-01-01 09:20:00,84.0566666667,0
2015-01-01 09:30:00,46.8066666667,0
2015-01-01 09:40:00,46.2316666667,0
2015-01-01 09:50:00,84.0566666667,0
2015-01-01 10:00:00,46.8066666667,0
2015-01-01 10:10:00,46.2316666667,0
2015-01-01 10:20:00,84.0566666667,0
2015-01-01 10:30:00,46.8066666667,0
2015-01-01 10:40:00,46.2316666667,0
2015-01-01 10:50:00,84.0566666667,0
2015-01-01 11:00:00,46.8066666667,0
2015-01-01 11:10:00,46.2316666667,0
2015-01-01 11:20:00,84.0566666667,1
2015-01-01 11:30:00,46.8066666667,1
2015-01-01 11:40:00,46.2316666667,1
2015-01-01 11:50:00,84.0566666667,2
2015-01-01 12:00:00,46.8066666667,2
2015-01-01 12:10:00,46.2316666667,2
2015-01-01 12:20:00,84.0566666667,2
2015-01-01 12:30:00,46.8066666667,3
2015-01-01 12:40:00,46.2316666667,3
2015-01-01 12:50:00,107.738333333,3
2015-01-01 13:00:00,46.8066666667,3
2015-01-01 13:10:00,46.2316666667,2
2015-01-01 13:20:00,84.0566666667,3
2015-01-01 13:30:00,46.8066666667,3
2015-01-01 13:40:00,46.2316666667,3
2015-01-01 13:50:00,84.0566666667,3
2015-01-01 14:00:00,46.8066666667,3
2015-01-01 14:10:00,46.2316666667,3
