index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
0,-5.08,1.6,0.0,0.0,244.25,-6.1,0.0
1,-5.19,1.71,0.0,0.0,242.59,-7.6,0.0
2,-5.4,1.79,0.0,0.0,240.59,-9.4,1.0
3,-5.79,1.83,0.0,0.0,238.57,-11.21,1.0
4,-6.29,1.82,0.0,0.0,236.85,-12.76,1.0
5,-6.78,1.78,0.0,0.0,235.76,-13.77,1.0
6,-7.15,1.72,0.0,0.0,235.6,-13.95,1.0
7,-7.3,1.65,0.0,0.0,236.69,-13.02,1.0
8,-6.5,1.65,37.59,15.36,239.23,-10.7,3.0
9,-4.49,1.74,147.92,60.44,243.3,-6.88,3.0
10,-1.77,1.86,256.54,104.82,248.32,-2.08,3.0
11,1.17,1.92,339.67,138.79,253.53,2.98,3.0
12,3.87,1.83,222.38,222.38,258.18,7.61,3.0
13,5.84,1.64,364.39,148.89,261.62,11.12,3.0
14,6.6,1.45,371.24,106.12,263.23,12.8,4.0
15,6.24,1.41,200.99,82.13,262.56,12.18,4.0
16,5.3,1.51,109.29,31.24,260.0,9.7,4.0
17,3.96,1.68,0.0,0.0,256.2,6.03,4.0
18,2.44,1.84,0.0,0.0,251.8,1.82,4.0
19,0.92,1.96,0.0,0.0,247.51,-2.24,4.0
20,-0.4,2.0,0.0,0.0,244.03,-5.5,1.0
21,-1.37,2.01,0.0,0.0,241.98,-7.46,1.0
22,-2.04,2.01,0.0,0.0,241.14,-8.32,1.0
23,-2.51,2.02,0.0,0.0,241.12,-8.45,1.0
24,-2.88,2.03,0.0,0.0,239.95,-8.21,1.0
25,-3.24,2.05,0.0,0.0,240.36,-7.97,1.0
26,-3.7,2.07,0.0,0.0,240.36,-8.1,0.0
27,-4.31,2.09,0.0,0.0,239.66,-8.84,0.0
28,-5.0,2.1,0.0,0.0,238.56,-9.92,0.0
29,-5.64,2.1,0.0,0.0,237.51,-10.95,0.0
30,-6.12,2.08,0.0,0.0,236.95,-11.52,0.0
31,-6.3,2.05,0.0,0.0,237.32,-11.23,0.0
32,-5.6,2.09,43.87,19.79,239.0,-9.7,2.0
33,-3.7,2.23,85.89,85.89,242.19,-6.69,2.0
34,-1.02,2.4,295.72,133.4,246.39,-2.64,2.0
35,1.97,2.48,196.78,196.78,250.91,1.81,2.0
36,4.83,2.36,219.28,219.28,255.06,6.04,2.0
37,7.09,2.08,419.73,189.35,258.26,9.45,2.0
38,8.3,1.77,346.12,156.14,259.98,11.4,1.0
