GloHorzRad,DifHorzRad,DryBulb
0,0,-5.079999924
0,0,-5.190000057
0,0,-5.400000095
0,0,-5.789999962
0,0,-6.289999962
0,0,-6.78000021
0,0,-7.150000095
0,0,-7.300000191
37.59000015,15.35999966,-6.5
147.9199982,60.43999863,-4.489999771
256.5400085,104.8199997,-1.769999981
339.6700134,138.7899933,1.169999957
222.3800049,222.3800049,3.869999886
364.3900146,148.8899994,5.840000153
371.2399902,106.1200027,6.599999905
200.9900055,82.12999725,6.239999771
109.2900009,31.23999977,5.300000191
0,0,3.960000038
0,0,2.440000057
0,0,0.920000017
0,0,-0.400000006
0,0,-1.370000005
0,0,-2.039999962
0,0,-2.50999999
0,0,-2.880000114
0,0,-3.24000001
0,0,-3.700000048
0,0,-4.309999943
0,0,-5
0,0,-5.639999866
0,0,-6.119999886
0,0,-6.300000191
43.86999893,19.79000092,-5.599999905
85.88999939,85.88999939,-3.700000048
295.7200012,133.3999939,-1.019999981
196.7799988,196.7799988,1.970000029
219.2799988,219.2799988,4.829999924
419.730011,189.3500061,7.090000153
346.1199951,156.1399994,8.300000191
231.8800049,104.5999985,8.399999619
102.4000015,46.18999863,7.809999943
0,0,6.380000114
0,0,4.630000114
0,0,3.069999933
0,0,2.200000048
0,0,2.200000048
0,0,2.130000114
0,0,1.809999943
0,0,1.350000024
0,0,0.850000024
0,0,0.400000006
0,0,0.090000004
0,0,-0.109999999
0,0,-0.25
0,0,-0.379999995
0,0,-0.540000021
44.41999817,13.23999977,-0.800000012
100.4199982,100.4199982,-1.179999948
295.4400024,88.08999634,-1.629999995
429.1199951,86.55999756,-2.089999914
478.0799866,96.44000244,-2.5
460.25,92.83999634,-2.789999962
345.6799927,103.0699997,-2.900000095
136.1999969,136.1999969,-3.160000086
60.38999939,60.38999939,-3.779999971
0,0,-4.539999962
0,0,-5.190000057
0,0,-5.5
0,0,-5.400000095
0,0,-5.309999943
0,0,-5.360000134
0,0,-5.550000191
0,0,-5.920000076
0,0,-6.460000038
0,0,-7.199999809
0,0,-8.119999886
0,0,-9.100000381
0,0,-10
0,0,-10.65999985
0,0,-10.93999958
52.49000168,5.139999866,-10.69999981
199.5899963,19.55999947,-9.840000153
344.2200012,33.74000168,-8.460000038
454.8200073,44.58000183,-6.71999979
506.5899963,49.65000153,-4.800000191
487.7600098,47.79999924,-2.839999914
402.6000061,39.45999908,-1
270.3900146,26.5,0.100000001
120.4199982,11.80000019,-0.140000001
0,0,-0.75
0,0,-1.580000043
0,0,-2.480000019
0,0,-3.299999952
0,0,-3.930000067
0,0,-4.400000095
0,0,-4.78000021
0,0,-5.139999866
0,0,-5.559999943
0,0,-6.099999905
0,0,-6.800000191
0,0,-7.570000172
0,0,-8.279999733
0,0,-8.800000191
0,0,-9
27.94000053,7.889999866,-8.199999809
104.8799973,29.62000084,-6.510000229
333.5499878,63.18000031,-4.380000114
440.3800049,83.41000366,-2.089999914
490.3800049,92.87999725,0.090000004
255.5200043,72.16000366,1.879999995
389.9700012,73.86000061,3
262.269989,49.68000031,3.319999933
117.3399963,22.22999954,3.299999952
0,0,3.160000086
0,0,2.839999914
0,0,2.440000057
0,0,2.099999905
0,0,1.889999986
0,0,1.75
0,0,1.559999943
0,0,1.210000038
0,0,0.589999974
0,0,-0.400000006
0,0,-1.809999943
0,0,-3.430000067
0,0,-4.940000057
0,0,-6.059999943
0,0,-6.5
49.56999969,12.15999985,-6
191.4100037,30.70999908,-4.869999886
328.6300049,52.72999954,-3.329999924
415.7600098,101.9899979,-1.480000019
482.6099854,77.44000244,0.550000012
464.769989,74.56999969,2.650000095
368.3200073,90.34999847,4.699999809
145.7200012,145.7200012,6
111.5400009,27.36000061,5.610000134
0,0,4.619999886
0,0,3.269999981
0,0,1.820000052
0,0,0.5
0,0,-0.479999989
0,0,-1.179999948
0,0,-1.700000048
0,0,-2.140000105
0,0,-2.599999905
0,0,-3.200000048
0,0,-3.99000001
0,0,-4.860000134
0,0,-5.670000076
0,0,-6.269999981
0,0,-6.5
26.87999916,18.36000061,-3.599999905
98.16000366,67.05999756,-0.519999981
88.02999878,88.02999878,1.190000057
221.5899963,151.3699951,1.940000057
246.6100006,168.4700012,2.140000105
237.5299988,162.2599945,2.190000057
196.3999939,134.1600037,2.5
69.37000275,69.37000275,3
59.86999893,40.90000153,2.819999933
0,0,2.339999914
0,0,1.649999976
0,0,0.839999974
0,0,0
0,0,-0.800000012
0,0,-1.539999962
0,0,-2.220000029
0,0,-2.839999914
0,0,-3.400000095
0,0,-3.900000095
0,0,-4.329999924
0,0,-4.690000057
0,0,-4.96999979
0,0,-5.139999866
0,0,-5.199999809
31.62000084,20.45999908,-3.799999952
57.95999908,57.95999908,-1.850000024
194.4499969,125.7900009,-0.170000002
256.0400085,165.6300049,1.139999986
284.8599854,184.2799988,1.99000001
139.7299957,139.7299957,2.299999952
227.0299988,146.8600006,1.799999952
153.3899994,99.23000336,0.889999986
35.49000168,35.49000168,-0.170000002
0,0,-1.269999981
0,0,-2.319999933
0,0,-3.230000019
0,0,-3.900000095
0,0,-4.269999981
0,0,-4.400000095
0,0,-4.369999886
0,0,-4.289999962
0,0,-4.230000019
0,0,-4.300000191
0,0,-4.550000191
0,0,-4.909999847
0,0,-5.28000021
0,0,-5.579999924
0,0,-5.699999809
37.45999908,24.14999962,-2.5
61.09000015,61.09000015,0.839999974
226.3200073,145.9199982,2.579999924
136.9100037,136.9100037,3.170000076
331.1199951,213.4900055,3.039999962
319,205.6799927,2.630000114
121.4499969,121.4499969,2.400000095
82.19999695,82.19999695,2.5
81.66999817,52.65999985,2.210000038
0,0,1.470000029
0,0,0.479999989
0,0,-0.540000021
0,0,-1.399999976
0,0,-1.929999948
0,0,-2.180000067
0,0,-2.24000001
0,0,-2.180000067
0,0,-2.109999895
0,0,-2.099999905
0,0,-2.220000029
0,0,-2.400000095
0,0,-2.549999952
0,0,-2.579999924
0,0,-2.390000105
54.09000015,31.29999924,-1.899999976
74.19999695,74.19999695,-1.059999943
126.0699997,126.0699997,-0.02
165.6699982,165.6699982,1.019999981
468.9299927,271.3599854,1.860000014
451.8299866,261.4700012,2.299999952
147.0399933,147.0399933,2.099999905
99.69000244,99.69000244,1.019999981
45.81000137,45.81000137,-0.610000014
0,0,-2.289999962
0,0,-3.519999981
0,0,-3.799999952
0,0,-3.099999905
0,0,-2.789999962
0,0,-3.099999905
0,0,-3.829999924
0,0,-4.789999962
0,0,-5.809999943
0,0,-6.699999809
0,0,-7.309999943
0,0,-7.670000076
0,0,-7.840000153
0,0,-7.900000095
0,0,-7.900000095
40,28.37999916,-5.400000095
137.5399933,97.58000183,-2.829999924
91.16000366,91.16000366,-1.5
119.6600037,119.6600037,-0.980000019
339.9299927,241.1799927,-0.860000014
128.1699982,128.1699982,-0.709999979
106.2600021,106.2600021,-0.100000001
184.4700012,130.8800049,0.699999988
33.36999893,33.36999893,0.529999971
0,0,0.07
0,0,-0.550000012
0,0,-1.25
0,0,-1.899999976
0,0,-2.430000067
0,0,-2.839999914
0,0,-3.150000095
0,0,-3.380000114
0,0,-3.559999943
0,0,-3.700000048
0,0,-3.829999924
0,0,-3.940000057
0,0,-4.019999981
0,0,-4.079999924
0,0,-4.099999905
70.98999786,45.15999985,-3.900000095
69.06999969,69.06999969,-3.519999981
116.6600037,116.6600037,-3.049999952
152.9600067,152.9600067,-2.50999999
169.9400024,169.9400024,-1.919999957
163.7899933,163.7899933,-1.309999943
472.7999878,300.7799988,-0.699999988
